Title_(RT),RT_critic,RT_critic_votes,RT_audience,RT_audience_votes
A Score to Settle,15%,20,20%,74
Khandaani Shafakhana,9%,11,62%,8
Violet Evergarden: Eternity and the Auto Memories Doll (no page found),N/A,N/A,N/A,N/A
Dragon Quest: Your Story,N/A,N/A,78%,83
One Piece: Stampede,93%,14,99%,776
Padre no hay mÃÂÃÂ¡s que uno (no page found),N/A,N/A,N/A,N/A
Awake,24%,62,54%,"237,784"
Killerman,26%,19,63%,68
Exit (Hui guang zoumingqu),100%,7,N/A,N/A
The Divine Fury,44%,18,90%,20
Ghost,N/A,N/A,53%,59
Operation Brothers (no page found),N/A,N/A,N/A,N/A
Dear Comrade,N/A,N/A,N/A,N/A
Horrible Histories: The Movie - Rotten Romans (no page found),N/A,N/A,N/A,N/A
A Rainy Day in New York,46%,56,60%,265
Thanneermathan Dinangal (no page found),N/A,N/A,N/A,N/A
Judgementall Hai Kya,67%,15,61%,18
Red Shoes and the Seven Dwarfs,N/A,N/A,81%,21
The Blue Elephant 2 (no page found),N/A,N/A,N/A,N/A
False Witness (no page found),N/A,N/A,N/A,N/A
A Good Woman Is Hard to Find,92%,49,69%,52
Otherhood,23%,26,54%,190
The Wretched,67%,9,29%,22
Prey,N/A,N/A,N/A,N/A
Ardaas Karaan,N/A,N/A,N/A,N/A
Secret Obsession,N/A,N/A,N/A,N/A
Kadaram Kondan (no page found),N/A,N/A,N/A,N/A
Aame (no page found),N/A,N/A,N/A,N/A
1BR,87%,60,N/A,N/A
The Banana Splits,71%,17,52%,167
iSmart Shankar,N/A,N/A,61%,33
Cosmos,N/A,N/A,79%,388
Never Grow Old,90%,21,64%,118
General (no page found),N/A,N/A,N/A,N/A
Fast & Furious Presents: Hobbs & Shaw,67%,337,88%,"27,689"
I'm No Longer Here (Ya no estoy aquí),100%,30,96%,45
General (no page found),N/A,N/A,N/A,N/A
Point Blank,91%,79,77%,"5,056"
Sivappu Manjal Pachai,N/A,N/A,N/A,N/A
Ne Zha,N/A,N/A,N/A,N/A
Crawl,63%,8,20%,180
The Lion King,93%,128,93%,"1,269,333"
18am Padi (no page found),N/A,N/A,N/A,N/A
Oh Baby (Netherlands),N/A,N/A,91%,198
PokÃÂÃÂ©mon: Mewtwo Strikes Back - Evolution (no page found),N/A,N/A,N/A,N/A
My Thoughts Are Silent (no page found),N/A,N/A,N/A,N/A
Cruel Peter,N/A,N/A,33%,6
A.M.I. (no page found),N/A,N/A,N/A,N/A
Ibiza,67%,24,40%,508
Daughter of the Wolf,22%,9,42%,57
Mrs. Lowry & Son,61%,36,81%,31
Storozh (no page found),N/A,N/A,N/A,N/A
Kidnapping Stella,N/A,N/A,32%,25
One Day: Justice Delivered,0%,5,N/A,N/A
Luca,N/A,N/A,86%,62
End of Sentence,92%,52,95%,131
Jiivi (no page found),N/A,N/A,N/A,N/A
Brochevarevarura (no page found),N/A,N/A,N/A,N/A
Tottaa Pataaka Item Maal (no page found),N/A,N/A,N/A,N/A
Killers Anonymous,0%,9,18%,85
Turma da MÃÂÃÂ´nica: LaÃÂÃÂ§os (no page found),N/A,N/A,N/A,N/A
Turma da MÃÂÃÂ´nica: LaÃÂÃÂ§os (no page found),N/A,N/A,N/A,N/A
Spider-Man: Far From Home,91%,436,95%,"69,228"
Step Up China,N/A,N/A,N/A,N/A
Midsommar,83%,384,63%,"5,230"
Robert the Bruce,44%,52,69%,163
Love in Kilnerry,N/A,N/A,N/A,N/A
Ghost in the Graveyard,N/A,N/A,N/A,N/A
Kaméleon (Chameleon),N/A,N/A,78%,111
Strange But True,56%,25,83%,6
The Influence (La Influencia),N/A,N/A,N/A,N/A
Kabir Singh,23%,13,79%,155
Article 15,89%,19,95%,169
Beats,90%,10,56%,108
Anna,N/A,N/A,N/A,N/A
In Full Bloom,N/A,N/A,N/A,N/A
Child's Play,71%,48,63%,"267,512"
Annabelle Comes Home,65%,201,70%,"9,406"
Queen Marie of Romania (no page found),N/A,N/A,N/A,N/A
Queen Marie of Romania (no page found),N/A,N/A,N/A,N/A
Unda,N/A,N/A,N/A,N/A
Shaft,33%,126,94%,"7,727"
Murder Mystery,43%,67,42%,933
Queen Marie of Romania (no page found),N/A,N/A,N/A,N/A
Game Over,N/A,N/A,N/A,N/A
Lying and Stealing,62%,13,13%,67
Men in Black International,23%,311,66%,"11,493"
Toy Story 4,97%,438,94%,"53,146"
Playmobil: The Movie,17%,60,62%,203
Escape Plan: The Extractors,27%,11,30%,133
The Bygone,N/A,N/A,57%,23
Virus,N/A,N/A,18%,102
The Vault,N/A,N/A,22%,895
Changeland,63%,8,60%,92
Red Devil (no page found),N/A,N/A,N/A,N/A
Kolaigaran (no page found),N/A,N/A,N/A,N/A
Bharat,32%,19,52%,130
Dark Phoenix,22%,366,64%,"15,450"
Clown Motel: Spirits Arise,N/A,N/A,N/A,N/A
The Passage,N/A,N/A,N/A,N/A
Z,93%,46,93%,"6,522"
NGK,N/A,N/A,17%,18
The Gallows Act II,0%,13,38%,73
Above the Shadows,57%,7,85%,26
Enes Batur GerÃÂÃÂ§ek Kahraman (no page found),N/A,N/A,N/A,N/A
Chopsticks,17%,6,76%,25
Agent Sai Srinivasa Athreya (no page found),N/A,N/A,N/A,N/A
Ma,92%,13,55%,45
Domino,18%,158,56%,"247,065"
Always Be My Maybe,N/A,N/A,67%,56
"Godzilla, King of the Monsters!",83%,24,73%,"9,403"
The Specials (Hors normes),82%,11,N/A,N/A
Sibyl,57%,30,N/A,N/A
Avengement,84%,19,66%,158
School Life,93%,46,81%,207
India's Most Wanted,25%,8,61%,23
It Must Be Heaven,95%,38,70%,30
Rim of the World,23%,13,48%,284
Assimilate,N/A,N/A,62%,203
The Secret Life of Pets 2,60%,156,90%,"21,933"
Aykut Eniste (no page found),N/A,N/A,N/A,N/A
The Traitor (Le Traitre),N/A,N/A,N/A,N/A
The Poison Rose,0%,6,24%,159
Chandigarh Amritsar Chandigarh,N/A,N/A,N/A,N/A
Matthias & Maxime,61%,51,80%,35
Oh Mercy! (no page found),N/A,N/A,N/A,N/A
Dogs Don't Wear Pants (Koirat eivät käytä housuja),89%,27,91%,11
O que arde (no page found),N/A,N/A,N/A,N/A
Once Upon a Time In Hollywood,85%,545,70%,"26,403"
Parasite,N/A,N/A,N/A,N/A
Young Ahmed (Le jeune Ahmed),60%,67,52%,25
O que arde (no page found),N/A,N/A,N/A,N/A
Invisible Life (A vida invisível de Eurídice Gusmão),93%,74,88%,108
O que arde (no page found),N/A,N/A,N/A,N/A
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),98%,295,92%,463
O que arde (no page found),N/A,N/A,N/A,N/A
Uma Vida em Segredo (A Hidden Life),N/A,N/A,N/A,N/A
On a Magical Night (Chambre 212),65%,31,17%,12
The Wild Goose Lake (Nan fang che zhan de ju hui),93%,68,74%,42
Alice and the Mayor (Alice et le maire),56%,9,N/A,N/A
Vivarium,72%,141,38%,726
The Whistlers,83%,104,62%,42
"Family Romance, LLC",77%,48,62%,13
I Lost My Body,96%,79,83%,524
Papicha,81%,16,83%,18
Ishq (no page found),N/A,N/A,N/A,N/A
Little Joe,68%,113,42%,86
Zombi Child,85%,80,60%,20
Hatsukoi,N/A,N/A,62%,448
"A White, White Day (Hvítur, hvítur dagur)",97%,64,N/A,N/A
Kardec,N/A,N/A,88%,8
Ishq (no page found),N/A,N/A,N/A,N/A
And Then We Danced,93%,81,95%,21
De De Pyaar De,23%,13,76%,111
The Weasel's Tale (El cuento de las comadrejas),85%,13,N/A,N/A
Sorry We Missed You,87%,143,N/A,N/A
The Swallows of Kabul (Les hirondelles de Kaboul),92%,13,100%,5
The Sun Is Also a Star,51%,101,61%,835
Chicuarotes,19%,16,N/A,N/A
Rocketman,N/A,N/A,N/A,N/A
Beanpole (Dylda),91%,89,79%,87
Atlantics,96%,148,77%,78
Promare,96%,28,93%,198
Cold Blood (La mémoire du sang),0%,17,19%,52
Le daim (no page found),N/A,N/A,N/A,N/A
John Wick: Chapter 3 - Parabellum (no page found),N/A,N/A,N/A,N/A
A Violent Separation,9%,11,84%,44
Bacurau (Nighthawk),91%,145,87%,406
"The Gangster, the Cop, the Devil",97%,31,94%,18
Les MisÃÂÃÂ©rables (no page found),N/A,N/A,N/A,N/A
Bull,N/A,N/A,N/A,N/A
The Dead Don't Die,N/A,N/A,40%,72
Chase,N/A,N/A,N/A,N/A
Life Like,N/A,N/A,73%,16
Adventures of Aladdin,N/A,N/A,10%,21
Shed of the Dead,N/A,N/A,63%,27
Brightburn,57%,200,67%,"4,331"
Student of the Year 2,6%,16,21%,189
Poms,36%,84,74%,843
Les MisÃÂÃÂ©rables (no page found),N/A,N/A,N/A,N/A
Wine Country,65%,84,30%,456
The Evil Down The Street,N/A,N/A,72%,50
Aladdin,57%,369,94%,"59,044"
Les MisÃÂÃÂ©rables (no page found),N/A,N/A,N/A,N/A
Chasing Molly,N/A,N/A,N/A,N/A
Yesterday (Vchera),N/A,N/A,N/A,N/A
See You Yesterday,95%,39,37%,232
A Dog's Journey,50%,84,91%,"2,922"
The Last Summer,N/A,N/A,N/A,N/A
El Hijo (no page found),N/A,N/A,N/A,N/A
The Intruder,N/A,N/A,N/A,N/A
PokÃÂÃÂ©mon Detective Pikachu (no page found),N/A,N/A,N/A,N/A
Tolkien,51%,196,72%,"1,169"
Swallow,88%,111,72%,274
PokÃÂÃÂ©mon Detective Pikachu (no page found),N/A,N/A,N/A,N/A
Low Tide,N/A,N/A,N/A,N/A
Bliss,N/A,N/A,N/A,N/A
Buffaloed,77%,47,88%,8
The Kill Team,90%,42,73%,"2,758"
Only,40%,20,N/A,N/A
UglyDolls,27%,86,54%,"1,070"
Uyare,N/A,N/A,N/A,N/A
Aamis (Ravening),87%,15,82%,22
After Midnight,N/A,N/A,30%,414
Blow the Man Down,98%,110,75%,287
Crown Vic,58%,24,74%,85
Come to Daddy,86%,96,75%,8
Born a King (no page found),N/A,N/A,N/A,N/A
I Spit on Your Grave: Deja Vu,N/A,N/A,16%,19
Avengers: Endgame,94%,524,90%,"69,850"
Born a King (no page found),N/A,N/A,N/A,N/A
Kingdom,94%,16,96%,27
Someone Great,82%,51,65%,553
Once Upon A Time In London,17%,6,N/A,N/A
Vellaipookal (no page found),N/A,N/A,N/A,N/A
Jersey,N/A,N/A,84%,19
The Collini Case,82%,11,N/A,N/A
Kanchana 3,N/A,N/A,N/A,N/A
Baantjer het Begin (no page found),N/A,N/A,N/A,N/A
Kalank,39%,18,41%,135
Baantjer het Begin (no page found),N/A,N/A,N/A,N/A
Guava Island,76%,41,75%,343
Athiran,N/A,N/A,N/A,N/A
I Can Quit Whenever I Want (Lo dejo cuando quiera),N/A,N/A,N/A,N/A
Crypto,17%,6,57%,90
Madhuraraja (no page found),N/A,N/A,N/A,N/A
The Furies,83%,6,81%,491
The Perfect Date,65%,17,37%,531
The Tashkent Files,0%,8,76%,41
Crossroads (Shizi jietou),N/A,N/A,N/A,N/A
Vinci Da (no page found),N/A,N/A,N/A,N/A
Chitralahari (no page found),N/A,N/A,N/A,N/A
Nous finirons ensemble (no page found),N/A,N/A,N/A,N/A
Nous finirons ensemble (no page found),N/A,N/A,N/A,N/A
Beneath Us,20%,10,50%,48
Nous finirons ensemble (no page found),N/A,N/A,N/A,N/A
Nous finirons ensemble (no page found),N/A,N/A,N/A,N/A
After...,N/A,N/A,12%,420
Sunrise in Heaven,N/A,N/A,53%,15
Hellboy,81%,202,66%,"458,965"
The Ruthless (Lo spietato),N/A,N/A,49%,47
The Champion (no page found),N/A,N/A,N/A,N/A
The Champion (no page found),N/A,N/A,N/A,N/A
PM Narendra Modi,0%,10,52%,56
Hababam Sinifi Yeniden (no page found),N/A,N/A,N/A,N/A
The Haunting of Sharon Tate,19%,32,31%,169
Hababam Sinifi Yeniden (no page found),N/A,N/A,N/A,N/A
Majili,N/A,N/A,60%,5
Romeo Akbar Walter,15%,13,81%,34
Missing Link,N/A,N/A,50%,59
Hababam Sinifi Yeniden (no page found),N/A,N/A,N/A,N/A
Terra Willy: PlanÃÂÃÂ¨te inconnue (no page found),N/A,N/A,N/A,N/A
Curiosa,N/A,N/A,N/A,N/A
The Trap,N/A,N/A,N/A,N/A
Satanic Panic,N/A,N/A,20%,57
Into the Ashes,26%,19,29%,42
End of the Century,95%,39,72%,37
The Notebook,53%,178,85%,"31,656,590"
Unplanned,40%,25,90%,"5,327"
Justice League vs the Fatal Five,100%,8,62%,82
The Birdcatcher,N/A,N/A,80%,5
Gone Kesh,N/A,N/A,N/A,N/A
Cuck,44%,16,48%,172
Terra Willy: PlanÃÂÃÂ¨te inconnue (no page found),N/A,N/A,N/A,N/A
Super Deluxe,80%,5,92%,80
Lucifer,N/A,N/A,82%,39
Maria,N/A,N/A,N/A,N/A
Shazam! (no page found),N/A,N/A,N/A,N/A
Mercy Black,40%,10,26%,60
I Trapped The Devil,75%,36,39%,96
Last Ferry,N/A,N/A,N/A,N/A
Who Would You Take to a Deserted Island? (A quién te llevarías a una isla desierta?),83%,6,N/A,N/A
Akjilkyungchal (no page found),N/A,N/A,N/A,N/A
Kesari,36%,14,80%,240
Balkanskiy rubezh,N/A,N/A,N/A,N/A
Depraved,84%,56,44%,56
Triple Threat,N/A,N/A,N/A,N/A
The Dirt,N/A,N/A,N/A,N/A
A pesar de todo,20%,5,21%,19
Clickbait,N/A,N/A,44%,17
Rahman 1400 (no page found),N/A,N/A,N/A,N/A
Pet Sematary,51%,35,59%,"97,793"
Turkish Ice-Cream (no page found),N/A,N/A,N/A,N/A
The Blackout,0%,8,53%,579
Nancy Drew and the Hidden Staircase,N/A,N/A,50%,121
For Love or Money,N/A,N/A,N/A,N/A
Finding Steve McQueen,52%,23,64%,81
Captive State,43%,76,37%,767
The Professor and the Madman,43%,28,79%,350
The Curse of La Llorona,N/A,N/A,N/A,N/A
Fisherman's Friends,65%,46,71%,112
Sang Krasue (no page found),N/A,N/A,N/A,N/A
Five Feet Apart,53%,121,79%,824
The Parts You Lose,67%,18,54%,50
Pain and Glory (Dolor y gloria),96%,284,91%,364
Stuber,41%,219,79%,"5,394"
Wonder Park,34%,106,44%,680
Abduction,N/A,N/A,44%,117
Ready or Not,N/A,N/A,N/A,N/A
Snatchers,100%,16,61%,122
Good Boys (Yeladim Tovim),N/A,N/A,N/A,N/A
The Day Shall Come,65%,89,55%,92
I See You,N/A,N/A,54%,"2,051"
Dumbo,98%,41,70%,"432,251"
Girl on the Third Floor,84%,37,22%,383
Adopt a Highway,69%,32,75%,82
Tone-Deaf,45%,31,24%,46
Extra Ordinary,98%,88,77%,22
Sang Krasue (no page found),N/A,N/A,N/A,N/A
Ready to Mingle (Bachelorettes) (Solteras),44%,9,48%,21
The Highwaymen,57%,138,73%,"1,291"
Booksmart,97%,353,77%,"4,116"
Daniel Isn't Real,83%,77,53%,131
Darlin',70%,30,50%,34
The Beach Bum,56%,120,29%,712
Villains,85%,65,78%,76
The Peanut Butter Falcon,96%,203,96%,"4,706"
Impossible Monsters,50%,6,93%,55
Long Shot,N/A,N/A,85%,169
Sword of Trust,93%,90,62%,176
Badla,60%,15,75%,157
Body at Brighton Rock,66%,41,19%,74
Sang Krasue (no page found),N/A,N/A,N/A,N/A
Juanita,N/A,N/A,N/A,N/A
Walk. Ride. Rodeo.,N/A,N/A,50%,46
The Kid,49%,99,49%,"60,625"
Mine 9,89%,18,78%,139
Triple Frontier,71%,131,55%,"1,983"
The Hard Way,N/A,N/A,77%,137
The Russian Bride,N/A,N/A,N/A,N/A
ÃÂÃÂldÃÂÃÂ¼r Beni Sevgilim (no page found),N/A,N/A,N/A,N/A
Yajamana,N/A,N/A,N/A,N/A
Luka Chuppi,31%,13,58%,57
Get In,50%,6,38%,13
4 latas,57%,7,50%,8
Sonchiriya,78%,9,88%,43
We Summon the Darkness,69%,64,36%,106
Thadam (no page found),N/A,N/A,N/A,N/A
Tyler Perry's A Madea Family Funeral,12%,34,30%,729
Captain Marvel,78%,517,48%,"95,473"
Lancaster Skies,N/A,N/A,27%,11
The Blonde One,92%,12,N/A,N/A
Feedback,N/A,N/A,N/A,N/A
Thadam (no page found),N/A,N/A,N/A,N/A
Posljednji Srbin u Hrvatskoj (no page found),N/A,N/A,N/A,N/A
Le mystÃÂÃÂ¨re Henri Pick (no page found),N/A,N/A,N/A,N/A
Room For Rent,88%,8,52%,168
American Bistro,N/A,N/A,97%,112
Paris est ÃÂÃÂ  nous (no page found),N/A,N/A,N/A,N/A
Trading Paint,0%,12,34%,53
TÃÂÃÂµde ja ÃÂÃÂµigus (no page found),N/A,N/A,N/A,N/A
Total Dhamaal,30%,10,40%,82
Svaha: The Sixth Finger,N/A,N/A,74%,27
Bir Ask Iki Hayat (no page found),N/A,N/A,N/A,N/A
June,N/A,N/A,62%,89
Marighella,N/A,N/A,N/A,N/A
Amundsen,N/A,N/A,N/A,N/A
Break,N/A,N/A,21%,966
Friend Zone,N/A,N/A,N/A,N/A
Di Jiu Tian Chang (no page found),N/A,N/A,N/A,N/A
Furie (Hai phuong),95%,21,83%,121
Oru Adaar Love,N/A,N/A,N/A,N/A
"Oh, Ramona! (no page found)",N/A,N/A,N/A,N/A
Jeungin (no page found),N/A,N/A,N/A,N/A
Happy Death Day 2U,70%,202,58%,"2,862"
Paradise Beach,N/A,N/A,0%,13
Synonyms (Synonymes),87%,86,33%,9
Elisa & Marcela,N/A,N/A,57%,7
Piranhas (La paranza dei bambini),58%,33,53%,17
The Way We Weren't,N/A,N/A,N/A,N/A
A Tale of Three Sisters,86%,7,N/A,N/A
RÃÂÃÂ©pertoire des villes disparues (no page found),N/A,N/A,N/A,N/A
Isn't It Romantic?,N/A,N/A,N/A,N/A
Driveways,100%,66,93%,56
"Gospod postoi, imeto i' e Petrunija (no page found)",N/A,N/A,N/A,N/A
The Operative (Newcomer),N/A,N/A,40%,10
Celle que vous croyez (no page found),N/A,N/A,N/A,N/A
Mr. Jones,46%,13,51%,"5,181"
Bait,N/A,N/A,N/A,N/A
Soul Hunters (no page found),N/A,N/A,N/A,N/A
Driven,62%,50,69%,138
The Golden Glove (Der goldene handschuh),52%,33,78%,50
Out Stealing Horses (Ut og Stjæle Hester),83%,12,N/A,N/A
Code Geass: Fukkatsu No Lelouch (no page found),N/A,N/A,N/A,N/A
37 sekanzu (no page found),N/A,N/A,N/A,N/A
Gully Boy,95%,22,82%,394
System Crasher (Systemsprenger),94%,34,N/A,N/A
Light of My life,81%,54,74%,360
Drunk Parents,N/A,N/A,15%,166
Beneath the Leaves,20%,5,8%,60
"Berlin, I Love You",11%,18,30%,93
Kumbalangi Nights,N/A,N/A,86%,21
9 (Nine) (Short Film),N/A,N/A,N/A,N/A
We Die Young,N/A,N/A,45%,62
Cold Pursuit,69%,182,49%,"2,572"
37 sekanzu (no page found),N/A,N/A,N/A,N/A
Pegasus,N/A,N/A,N/A,N/A
The New King of Comedy,N/A,N/A,N/A,N/A
The Wandering Earth,69%,36,48%,863
The Knight of Shadows: Between Yin and Yang,N/A,N/A,N/A,N/A
Crazy Alien,N/A,N/A,44%,12
Alita: Battle Angel,61%,320,92%,"33,626"
The Immortal (no page found),N/A,N/A,N/A,N/A
The LEGO Movie 2: The Second Part,84%,290,68%,"28,642"
When the Moon Was Full,N/A,N/A,N/A,N/A
An Affair to Die For,N/A,N/A,26%,53
The Immortal (no page found),N/A,N/A,N/A,N/A
Organize Isler: Sazan Sarmali (no page found),N/A,N/A,N/A,N/A
Ek Ladki Ko Dekha Toh Aisa Laga,77%,13,65%,97
Paddleton,90%,41,88%,533
Madras Beats (no page found),N/A,N/A,N/A,N/A
Troop Zero,67%,64,78%,429
The First King,N/A,N/A,62%,24
The Mustang,95%,129,74%,457
Just 6.5 (6.5 Toman Per Meter) (Metri shish-o-nim),89%,9,N/A,N/A
Madras Beats (no page found),N/A,N/A,N/A,N/A
15 Minutes of War (L'intervention),43%,7,82%,11
Top End Wedding,89%,37,73%,30
Corporate Animals,25%,51,16%,42
Silhouette,N/A,N/A,57%,31
Brittany Runs a Marathon,88%,181,87%,"1,344"
The Drone,80%,5,38%,16
Sweetheart,94%,35,51%,233
Fighting with My Family,92%,232,82%,"3,879"
Official Secrets,83%,159,89%,361
Animals,N/A,N/A,20%,329
Big Time Adolescence,85%,80,83%,410
Blinded by the Light,89%,250,91%,"2,635"
After Party,N/A,N/A,N/A,N/A
High Flying Bird,92%,129,48%,56
Judy & Punch,79%,131,57%,47
Photograph,N/A,N/A,N/A,N/A
Luce,90%,156,77%,284
Little Monsters,50%,8,62%,"48,939"
Them That Follow,59%,92,46%,158
Velvet Buzzsaw,61%,179,35%,"1,716"
The Souvenir,89%,170,36%,515
Madras Beats (no page found),N/A,N/A,N/A,N/A
Monos,93%,148,85%,33
Clemency,N/A,N/A,N/A,N/A
The Death of Dick Long,75%,76,86%,7
Take Me Somewhere Nice,100%,14,88%,8
Queen of Hearts,N/A,N/A,80%,26
Gozaresh (The Report),N/A,N/A,57%,13
Greener Grass,80%,66,N/A,N/A
The Vast of Night,92%,218,64%,898
Hala,88%,33,60%,60
Paradise Hills,64%,61,76%,370
Rane (The Wounds),N/A,N/A,87%,653
The Wolf Hour,50%,26,44%,9
The Last Black Man in San Francisco,93%,201,84%,506
"Extremely Wicked, Shockingly Evil and Vile",54%,180,57%,"1,357"
Seetharama Kalyana (no page found),N/A,N/A,N/A,N/A
La Despedida,N/A,N/A,N/A,N/A
Divine Love,94%,18,N/A,N/A
Honey Boy,94%,224,92%,560
Thackeray,20%,10,50%,35
The Boy Who Harnessed the Wind,86%,63,88%,352
The Lodge,74%,165,51%,320
Mirreyes contra Godinez,N/A,N/A,N/A,N/A
Share,N/A,N/A,N/A,N/A
Adam,N/A,N/A,58%,43
I Am Mother,90%,73,74%,"1,017"
The Hole in the Ground,84%,87,48%,405
Late Night,N/A,N/A,N/A,N/A
Miss Bala,87%,69,63%,"4,826"
Polar,N/A,N/A,N/A,N/A
Danmarks sÃÂÃÂ¸nner (no page found),N/A,N/A,N/A,N/A
Efter brylluppet (After the Wedding),88%,105,87%,"83,976"
Danmarks sÃÂÃÂ¸nner (no page found),N/A,N/A,N/A,N/A
Beats,90%,10,56%,108
Manikarnika: The Queen of Jhansi,50%,10,81%,166
Native Son,N/A,N/A,N/A,N/A
Serenity,82%,187,91%,"313,189"
Give Me Liberty,N/A,N/A,N/A,N/A
Extreme Job,80%,10,82%,107
The Secret Men Club (no page found),N/A,N/A,N/A,N/A
The Shiny Shrimps (Les Crevettes Pailletées),73%,26,N/A,N/A
Wish Man,N/A,N/A,89%,148
BorÃÂÃÂ§ HarÃÂÃÂ§ (no page found),N/A,N/A,N/A,N/A
Mikhael,N/A,N/A,N/A,N/A
Operation Cicero (no page found),N/A,N/A,N/A,N/A
Love at Second Sight (Mon inconnue),50%,8,90%,21
The Lift Boy,N/A,N/A,60%,5
I Hate Kids,22%,9,82%,99
Pod bluzka (Close),N/A,N/A,N/A,N/A
Io,31%,26,N/A,N/A
Taksi-Blyuz (Taxi Blues),83%,6,70%,108
Why Cheat India,N/A,N/A,N/A,N/A
Rebelles (no page found),N/A,N/A,N/A,N/A
The Wolf's Call (Le chant du loup),92%,12,71%,140
In Family I Trust (Gente que viene y bah),N/A,N/A,N/A,N/A
The Kid Who Would Be King,89%,186,56%,"1,444"
The Queen's Corgi,0%,19,N/A,N/A
Iron Sky: The Coming Race,29%,7,31%,96
Weathering with You,91%,90,96%,241
White Snake,68%,22,86%,42
Uri,62%,13,N/A,N/A
F2: Fun and Frustration,N/A,N/A,N/A,N/A
Vijay Superum Pournamiyum (no page found),N/A,N/A,N/A,N/A
The Last Laugh (Der Letzte Mann),100%,28,88%,"4,052"
The Accidental Prime Minister,20%,10,N/A,N/A
Vinaya Vidheya Rama,N/A,N/A,N/A,N/A
Vijay Superum Pournamiyum (no page found),N/A,N/A,N/A,N/A
A Dog's Way Home,59%,79,71%,"1,605"
Reign of the Supermen,N/A,N/A,74%,23
Vijay Superum Pournamiyum (no page found),N/A,N/A,N/A,N/A
Petta,67%,6,69%,55
Viswasam,N/A,N/A,N/A,N/A
NTR - Kathanayakudu,N/A,N/A,50%,6
The Last Boy,N/A,N/A,30%,32
Vijay Superum Pournamiyum (no page found),N/A,N/A,N/A,N/A
Storm Boy,N/A,N/A,75%,413
American Hangman,44%,9,61%,129
Escape Room,N/A,N/A,21%,227
How to Train Your Dragon: The Hidden World,90%,261,86%,"56,259"
122 (no page found),N/A,N/A,N/A,N/A
Qu'est-ce qu'on a encore fait au bon Dieu? (no page found),N/A,N/A,N/A,N/A
Paranormal Investigation (no page found),N/A,N/A,N/A,N/A
BÃÂÃÂ¶rÃÂÃÂ¼ (no page found),N/A,N/A,N/A,N/A
T-34,N/A,N/A,82%,91
Simmba,27%,11,42%,157
Minha Vida em Marte (no page found),N/A,N/A,N/A,N/A
Checkered Ninja (Ternet Ninja),N/A,N/A,86%,30
All Is True,71%,136,67%,270
Njan Prakashan,N/A,N/A,N/A,N/A
Zero,N/A,N/A,N/A,N/A
Welcome to Marwen,34%,166,49%,"1,642"
Kanaa,N/A,N/A,N/A,N/A
Adanga Maru (no page found),N/A,N/A,N/A,N/A
K.G.F: Chapter 1 (no page found),N/A,N/A,N/A,N/A
Maari 2 (Tamil),N/A,N/A,25%,14
Yatra,N/A,N/A,70%,269
Holmes and Watson,10%,77,26%,"3,846"
The Drug King,80%,5,68%,31
All About Me (Der Junge muss an die frische Luft),N/A,N/A,N/A,N/A
Nicky Larson et le parfum de Cupidon (no page found),N/A,N/A,N/A,N/A
The Ride,N/A,N/A,80%,53
Beyond White Space,N/A,N/A,33%,53
Odiyan,N/A,N/A,44%,14
Vice,N/A,N/A,N/A,N/A
Nicky Larson et le parfum de Cupidon (no page found),N/A,N/A,N/A,N/A
The Mule (La mula),N/A,N/A,50%,42
City of Lies,N/A,N/A,62%,135
Bizim IÃÂÃÂ§in Sampiyon (no page found),N/A,N/A,N/A,N/A
Kedarnath,43%,14,69%,133
The Axiom,N/A,N/A,34%,47
Dumplin',85%,61,74%,"1,098"
Revenger,40%,5,52%,55
